ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
464,Can I Win,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Hash Map + Memoization + Bitmask,Canonical: Text-processing pipeline,O(2^M),O(2^M),Range / bit-state canvas
465,Optimal Account Balancing,Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(N!),O(N),Strip / timeline / pointer canvas
466,Count The Repetitions,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(|s_1| · |s_2|),O(|s_2|),Coordinate-plane canvas
467,Unique Substrings in Wraparound String,Tree / Trie,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N),O(1),Node-link canvas (tree/list/trie)
468,Validate IP Address,Number / Bit / Math,Math / Number Theory,Formula / constructive math,+ String Parsing,Canonical: Mathematical invariant,O(N),O(1),Formula / invariant canvas
469,Convex Polygon,Intervals / Geometry / Coordinates,Geometry,Geometric reasoning,None,Canonical: Geometry / sweep / convex-hull family,O(N),O(1),Graph / state-network canvas
470,Implement Rand10() Using Rand7(),Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(1),O(1),Grid / board canvas
471,Encode String with Shortest Length,Matrix / Grid,Dynamic Programming,Interval DP,+ Intervals/Geometry,Canonical: Coin Change / state-transition DP,O(N^3),O(N^2 · N),Grid / board canvas
472,Concatenated Words,String / Text,DFS,Memoized DFS,+ Sorting + Trie,Canonical: Depth-first component exploration,O(N · L^2),O(N · L),Node-link canvas (tree/list/trie)
473,Matchsticks to Square,Array / Sequence,DFS,Depth-first traversal,+ Sorting + Bitmask,Canonical: Depth-first component exploration,O(V+E),O(2^N),Range / bit-state canvas
474,Ones and Zeroes,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(L · M · N),O(M · N),Grid / board canvas
475,Heaters,Array / Sequence,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,O((H+G),O(1),Strip / timeline / pointer canvas
476,Number Complement,Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Bitmask + Tree + Segment/Fenwick,Canonical: Contains Duplicate / seen-set uniqueness,O(1),O(1),Range / bit-state canvas
477,Total Hamming Distance,Intervals / Geometry / Coordinates,Counting,Count-driven scan,+ Tree + Segment/Fenwick,Canonical: Frequency counting,O(32 · N),O(1),Strip / timeline / pointer canvas
478,Generate Random Point in a Circle,Intervals / Geometry / Coordinates,Geometry,Geometric reasoning,None,Canonical: Geometry / sweep / convex-hull family,O(1),O(1),Coordinate-plane canvas
479,Largest Palindrome Product,String / Text,Greedy,Local-choice optimization,+ Math,Canonical: Gas Station / local-choice greedy,O(10^n),O(1),Formula / invariant canvas
480,Sliding Window Median,Array / Sequence,Heap,Dual-heap balancing,+ Hash Map + Sorting + Tree,Canonical: Find Median from Data Stream,O(log k),O(k),Container canvas (stack/queue/heap)
481,Magical String,Object / Process / API,Design / Process / JS,Generator / iterator protocol,None,Canonical: API / object-behavior design,O(1),O(N),Coordinate-plane canvas
482,License Key Formatting,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(N),Strip / timeline / pointer canvas
483,Smallest Good Base,Array / Sequence,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log^2 n),O(1),Strip / timeline / pointer canvas
484,Find Permutation,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,O(N),O(N),Container canvas (stack/queue/heap)
485,Max Consecutive Ones,Array / Sequence,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
486,Predict the Winner,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(n^2),O(n),Grid / board canvas
487,Max Consecutive Ones II,Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,None,Canonical: Longest Substring Without Repeating Characters,O(n),O(1),Coordinate-plane canvas
488,Zuma Game,Array / Sequence,DFS,Memoized DFS,+ Hash Map,Canonical: Depth-first component exploration,O(V+E),O(States),Lookup-table / bucket canvas
489,Robot Room Cleaner,Matrix / Grid,Backtracking,Choice tree with undo,+ Hash Set + Intervals/Geometry,Canonical: Permutations / combinations search,O(N),O(N),Grid / board canvas
490,The Maze,Matrix / Grid,BFS,Single-source breadth-first traversal,+ Graph,Canonical: Rotting Oranges / 01 Matrix,O(M x N),O(MN),Grid / board canvas
491,Non-decreasing Subsequences,String / Text,DFS,Depth-first traversal,+ Hash Set,Canonical: Depth-first component exploration,O(2^N),O(N),Lookup-table / bucket canvas
492,Construct the Rectangle,Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(√{N}),O(1),Strip / timeline / pointer canvas
493,Reverse Pairs,Array / Sequence,Two Pointers,Same-direction merge / fill,+ Counting + Sorting + Intervals/Geometry,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Coordinate-plane canvas
494,Target Sum,Matrix / Grid,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N · text{Sum}),O(text{Sum}),Grid / board canvas
495,Teemo Attacking,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Strip / timeline / pointer canvas
496,Next Greater Element I,Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Hash Map,Canonical: Daily Temperatures / Largest Rectangle,O(N + M),O(M),Container canvas (stack/queue/heap)
497,Random Point in Non-overlapping Rectangles,Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,+ Prefix/Suffix,Canonical: Binary Search / median partition,O(log N),O(N),Coordinate-plane canvas
498,Diagonal Traverse,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,O(M · N),O(1),Grid / board canvas
499,The Maze III,Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Heap,Canonical: Network Delay Time,O(MN log(MN),O(MN),Container canvas (stack/queue/heap)
500,Keyboard Row,Matrix / Grid,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(1),O(1),Grid / board canvas
501,Find Mode in Binary Search Tree,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(1),O(H),Node-link canvas (tree/list/trie)
502,IPO,Array / Sequence,Heap,Dual-heap balancing,+ Greedy Check,Canonical: Find Median from Data Stream,O(N log N),O(N),Container canvas (stack/queue/heap)
503,Next Greater Element II,Array / Sequence,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
504,Base 7,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Formula / invariant canvas
505,The Maze,Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Queue/Deque,Canonical: Network Delay Time,Custom / source-specific,Custom / source-specific,Container canvas (stack/queue/heap)
506,Relative Ranks,Array / Sequence,Heap,Priority-based selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(N),Container canvas (stack/queue/heap)
507,Perfect Number,Number / Bit / Math,Math / Number Theory,Divisor / number theory,None,Canonical: Count Primes / GCD-LCM family,O(N),O(1),Lookup-table / bucket canvas
508,Most Frequent Subtree Sum,Tree / Trie,DFS,Tree DFS,+ Hash Map + Tree,Canonical: Path Sum / subtree DFS,O(V+E),O(V),Node-link canvas (tree/list/trie)
509,Fibonacci Number,Number / Bit / Math,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(1),State-table / recurrence canvas
510,Inorder Successor in BST II,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(1),Node-link canvas (tree/list/trie)
511,Game Play Analysis I (SQL),Relational Table / SQL,SQL / Group By,Grouped aggregation,None,Canonical: Grouped aggregation / departmental summary,Depends on engine / grouping plan,O(N),Relational table canvas
512,Game Play Analysis II (SQL),Relational Table / SQL,SQL / Window Function,ROW_NUMBER ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
513,Find Bottom Left Tree Value,Tree / Trie,BFS,Level-order traversal,None,Canonical: Binary Tree Level Order Traversal,O(V+E),O(N),Container canvas (stack/queue/heap)
514,Freedom Trail,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M·N),O(M·N),Grid / board canvas
515,Find Largest Value in Each Tree Row,Tree / Trie,BFS,Level-order traversal,None,Canonical: Binary Tree Level Order Traversal,O(V+E),O(N),Strip / timeline / pointer canvas
516,Longest Palindromic Subsequence,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M·N),O(M·N),Grid / board canvas
517,Super Washing Machines,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,O(N),O(1),Coordinate-plane canvas
518,Coin Change II,Array / Sequence,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(A),State-table / recurrence canvas
519,Random Flip Matrix,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Map,Canonical: Grid traversal / DP scan,O(1),O(K),Grid / board canvas
520,Detect Capital,Array / Sequence,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N),O(1),Coordinate-plane canvas
521,Longest Uncommon Subsequence I,String / Text,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Coordinate-plane canvas
522,Longest Uncommon Subsequence II,String / Text,Two Pointers,Boundary / pointer sweep,+ Sorting,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Container canvas (stack/queue/heap)
523,Continuous Subarray Sum,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map + Math,Canonical: Range Sum Query,O(N),"O(min(N, k)",Lookup-table / bucket canvas
524,Longest Word in Dictionary through Deleting,String / Text,Two Pointers,Boundary / pointer sweep,+ Hash Map + Sorting,Canonical: Two Sum II / Container With Most Water,O(N),O(log D),Coordinate-plane canvas
525,Contiguous Array,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,O(N),O(N),Graph / state-network canvas
526,Beautiful Arrangement,Intervals / Geometry / Coordinates,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,O(branch^depth),O(N),Range / bit-state canvas
527,Word Abbreviation,Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Prefix/Suffix + Trie,Canonical: Grouped aggregation / departmental summary,Depends on engine / grouping plan,O(N · L),Relational table canvas
528,Random Pick with Weight,Number / Bit / Math,Binary Search,Exact / partition binary search,+ Prefix/Suffix,Canonical: Binary Search / median partition,O(log N),O(N),Strip / timeline / pointer canvas
529,Minesweeper,Matrix / Grid,BFS,Single-source breadth-first traversal,None,Canonical: Rotting Oranges / 01 Matrix,O(V+E),O(M · N),Grid / board canvas
530,Minimum Absolute Difference in BST,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(N),O(H),Node-link canvas (tree/list/trie)
531,Lonely Pixel I,Matrix / Grid,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N),O(M + N),Grid / board canvas
532,K-diff Pairs in an Array,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Hash Map + Counting,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Lookup-table / bucket canvas
533,Lonely Pixel II,Matrix / Grid,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(M · N),Grid / board canvas
534,Game Play Analysis III (SQL),Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(N),Relational table canvas
535,Encode and Decode TinyURL,Number / Bit / Math,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
536,Construct Binary Tree from String,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,Custom / source-specific,O(H),Container canvas (stack/queue/heap)
537,Complex Number Multiplication,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Strip / timeline / pointer canvas
538,Convert BST to Greater Tree,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(N),O(H),Node-link canvas (tree/list/trie)
539,Minimum Time Difference,Array / Sequence,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,O(1),Lookup-table / bucket canvas
540,Single Element in a Sorted Array,Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log N),O(1),Coordinate-plane canvas
541,Reverse String II,String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Graph / state-network canvas
542,01 Matrix,Matrix / Grid,BFS,Multi-source / layered BFS,None,Canonical: Rotting Oranges / 01 Matrix,O(V+E),O(M · N),Grid / board canvas
543,Diameter of Binary Tree,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(V+E),O(H),Node-link canvas (tree/list/trie)
544,Output Contest Matches,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,O(N),Strip / timeline / pointer canvas
545,Boundary of Binary Tree,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(N),O(N),Node-link canvas (tree/list/trie)
546,Remove Boxes,Array / Sequence,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(N^3),State-table / recurrence canvas
547,Number of Provinces,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(V+E),O(N),Relational table canvas
548,Split Array with Equal Sum,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Set,Canonical: Range Sum Query,O(N^2),O(N),Lookup-table / bucket canvas
549,Binary Tree Longest Consecutive Sequence II,Tree / Trie,DFS,Tree DFS,None,Canonical: Path Sum / subtree DFS,O(V+E),O(H),Node-link canvas (tree/list/trie)
550,Game Play Analysis IV (SQL),Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,Depends on engine / grouping plan,O(N),Relational table canvas
551,Student Attendance Record I,Number / Bit / Math,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Coordinate-plane canvas
552,Student Attendance Record II,Matrix / Grid,Dynamic Programming,State-transition DP,+ Bitmask,Canonical: Coin Change / state-transition DP,O(states × transitions),O(1),Grid / board canvas
