ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
1169,Invalid Transactions,Hash Map Grouping + Sorting,"Draw ""User Folders"". Put transactions inside. For each folder, check if amount > 1000. Then, check pairs of items to see if TimeDiff < 60 and City is different.",Lookup-table / bucket canvas
1170,Compare Strings by Frequency of the Smallest Character,Pre-computation + Binary Search/Suffix Sum,Draw a frequency array [0...11]. Put counts of words in each. Create a second array (Suffix Sum) where each cell is the sum of everything to its right. Instant lookup.,Grid / board canvas
1171,Remove Zero Sum Consecutive Nodes from Linked List,Prefix Sum + Hash Map (One/Two Pass),"Draw the list. Below each node, write the running sum. If you see a sum twice (e.g., '7'), draw a long ""bridge"" arrow skipping everything between the two '7's.",Node-link canvas (tree/list/trie)
1172,Dinner Plate Stacks,Min-Heap + List of Stacks,"Draw a row of stacks. Draw a small ""Priority Queue"" triangle on the side containing numbers (indices). Take the smallest number to know where to drop the plate.",Container canvas (stack/queue/heap)
1173,Immediate Food Delivery I (SQL),SUM(CASE) / AVG(IF),"Draw a ""Gate"". If dates match, a '1' falls through. If not, a '0' falls through. Sum the results and divide by the gate's total throughput.",Relational table canvas
1174,Immediate Food Delivery II (SQL),IN Clause with Multi-Column Key,"Draw a list of (Customer, Earliest Date). Use this as a ""Key Card"" to unlock only the first-order rows from the massive main table.",Relational table canvas
1175,Prime Arrangements,Sieve of Eratosthenes + Combinatorics,"Draw a grid 1 to N. Cross out multiples of 2, 3, 5... Count remaining (Primes). Draw two ""Factorial Machines"" P! and (N-P)! and multiply their outputs.",Grid / board canvas
1176,Diet Plan Performance,Sliding Window (Fixed Size),"Draw an array. Draw a box over the first k elements. Write the sum. Slide the box right: cross out the leftmost number, circle the new rightmost number, update the sum.",Coordinate-plane canvas
1177,Can Make Palindrome from Substring,Prefix Sums + Bitmasking,"Draw a 1D array of binary numbers (bitmasks). To check a range, draw two masks being XORed. Count the ""1"" bits in the result (population count) and divide by 2.",Range / bit-state canvas
1178,Number of Valid Words for Each Puzzle,Bitmasking + Subset Enumeration,"Draw a puzzle mask. Draw a tree branching into its sub-masks. For each leaf, draw a pointer to a Hash Map to get the count.",Range / bit-state canvas
1179,Reformat Department Table,Conditional Aggregation (SUM + CASE),"Draw a vertical table. Draw 12 funnels labeled by Month. Rows drop into the funnels. If a row is ""Jan"", it goes to the Jan column, otherwise it drops through as NULL.",Strip / timeline / pointer canvas
1180,Count Substrings with Only One Distinct Character,Two Pointers / Math (Sum of N),"Draw a string. Draw brackets around blocks of same characters. For a block of size L, write the formula fracL(L+1)2 below it. Sum these values.",Node-link canvas (tree/list/trie)
1181,Before and After Puzzle,Hash Map (First Word Mapping),"Draw a table: ""First Word"" rightarrow [List of Phrases]. Then take a phrase, look at its last word, and draw arrows only to the specific list in your table.",Lookup-table / bucket canvas
1182,Shortest Distance to Target Color,Dynamic Programming (Pre-computed Distances),"Draw 3 rows below the array (Color 1, 2, 3). In each cell, write the distance to the nearest color of that type. Queries are now O(1) lookups.",Grid / board canvas
1183,Maximum Number of Ones,Greedy + Coordinate Modulo Counting,"Draw a mini-grid (size S x S). For each cell in the mini-grid, count how many times it appears in the big grid. Circle the M cells with the biggest counts.",Grid / board canvas
1184,Distance Between Bus Stops,Two-Way Summation (Circular Array),Draw a circle of numbers. Highlight the segment between start and end. Shade the remaining part of the circle in a different color. Compare the two.,Coordinate-plane canvas
1185,Day of the Week,Zeller’s Congruence / Sum of Days,"Draw a timeline starting at 1971. Draw blocks for years passed, then smaller blocks for months. Sum them up and use a ""Wheel of 7"" to find the day name.",Strip / timeline / pointer canvas
1186,Maximum Subarray Sum with One Deletion,Dynamic Programming (Bi-directional Kadane's),"Draw the array. Below it, draw two rows. Row 1: Kadane from Left. Row 2: Kadane from Right. To ""delete"" an index, sum the values from the neighbors in both rows.",State-table / recurrence canvas
1187,Make Array Strictly Increasing,Dynamic Programming (State: Index + Prev Value),"Draw a table where Rows = Index in `arr1`, Columns = possible values from `arr2`. Mark paths that satisfy arr1[i] > prev. Shade the path with lowest cost.",State-table / recurrence canvas
1188,Design Bounded Blocking Queue,Condition Variables / Semaphores,"Draw a box (Queue) with a fixed size. Draw ""Sleep"" clouds above blocked threads. Draw a ""Bell"" (Notify) that wakes them up when an item is added/removed.",Container canvas (stack/queue/heap)
1189,Maximum Number of Balloons,Frequency Map / Bottleneck Analysis,"Draw a ""Pantry"" with jars for b, a, l, o, n. Write the required recipe amounts below (1, 1, 2, 2, 1). Divide your jars by the recipe and find the smallest result.",Lookup-table / bucket canvas
1190,Reverse Substrings Between Each Pair of Parentheses,Wormhole Teleportation (O(N) Pre-matching),"Draw the string. Draw ""Portals"" connecting '(' and ')'. Trace a line. When you hit a portal, jump to the other side and flip your arrow direction.",Node-link canvas (tree/list/trie)
1191,K-Concatenation Maximum Sum,Kadane's + Total Sum Logic,"Draw two copies of the array. Run Kadane across the seam. Draw a ""Multiplier"" box for the remaining (k-2) middle copies if the array sum is > 0.",Strip / timeline / pointer canvas
1192,Critical Connections in a Network,Tarjan's / Bridges (DFS Discovery Time),"Draw a graph. As you DFS, write two numbers inside each node (tin, low). If an edge leads to a neighbor whose low value is higher than your current tin, circle that edge as a bridge.",Node-link canvas (tree/list/trie)
1193,Monthly Transactions I (SQL),GROUP BY + DATE_FORMAT,"Draw a ""Folder Machine"" where each folder is a `Month-Country` pair. Drop transaction rows into folders. Write the sums and counts on the folder labels.",Relational table canvas
1194,Tournament Winners (SQL),UNION ALL + Window Functions,"Draw two score sheets being merged into one master sheet. Draw buckets for Group IDs. Inside each bucket, draw a sorted list of players. Point to row #1.",Relational table canvas
1195,Fizz Buzz Multithreaded,Synchronization (Semaphores / Mutex + Conditions),"Draw 4 parallel tracks. Draw a ""Traffic Guard"" in front of each. The guard only lets the thread through if the current number is theirs. Then the thread shouts ""Next!"" to everyone.",Lookup-table / bucket canvas
1196,How Many Apples Can You Put into the Basket,Greedy (Sorting),"Draw an empty box labeled ""5000g"". List sorted weights. Draw an arrow moving through the list, ""dropping"" apples into the box until it's full.",Strip / timeline / pointer canvas
1197,Minimum Knight Moves,BFS with Symmetry + Pruning (or Math),"Draw only one quadrant of the grid. Mark the target. Use a ""Compass"" showing the 8 moves but cross out moves that go significantly away from (0,0) or target.",Grid / board canvas
1198,Find Smallest Common Element in All Rows,Frequency Array / Counting (Rows are Sorted),"Draw a 1D frequency array (indices 1-10000). For each number in the grid, increment its index. The first index to hit the ""Total Rows"" mark wins.",Grid / board canvas
1199,Minimum Time to Build Blocks,Greedy (Huffman Coding / Min-Heap),"Draw a forest of nodes (blocks). Pick the two smallest. Connect them to a parent node with value `max(small1, small2) + split`. Repeat until one root exists.",Container canvas (stack/queue/heap)
1200,Minimum Absolute Difference,Sorting + Adjacent Comparison,Draw a sorted array. Draw brackets between adjacent numbers. Write the difference above each bracket. Circle the smallest difference and collect those pairs.,Coordinate-plane canvas
1201,Ugly Number III,Binary Search on Answer Range + Inclusion-Exclusion Principle,"Draw a horizontal line with 'low' and 'high' pointers. Below it, draw a classic 3-circle Venn diagram. Label the 3 circles a, b, c. Label the overlaps LCM(a,b), LCM(b,c), LCM(a,c). Label the center LCM(a,b,c). Shift 'mid' on the line based on math formulas derived from the circles.",Coordinate-plane canvas
1202,Smallest String With Swaps,Disjoint Set Union (DSU) / Connected Components + Sorting,"Draw circles representing the indices 0 to N-1. Draw lines connecting indices given in the 'pairs' array. Circle the connected groups. Next to each group, write down the characters at those indices, draw a down-arrow to a sorted list of those chars, and draw arrows mapping them back to the original index circles.",Relational table canvas
1203,Sort Items by Groups Respecting Dependencies,Double Topological Sort (Kahn's Algorithm),"Draw large circles representing ""Groups"" with directional arrows between them. Inside each large circle, draw smaller circles representing ""Items"" with arrows between them. Cross out nodes with 0 incoming arrows one by one, writing the crossed-out nodes into an output list.",Node-link canvas (tree/list/trie)
1204,Last Person to Fit in the Bus (SQL),SQL Window Function (Cumulative Sum),"Draw a vertical table with columns: 'Turn', 'Weight', and 'Running_Total'. Draw a downward arrow from row 1's Running_Total to row 2, writing ""+ Weight"" next to it. Put a red line under the row where Running_Total breaches 1000.",Relational table canvas
1205,Monthly Transactions II (SQL),UNION ALL + Unified GROUP BY (CTEs),"Draw a box labeled 'CTE_Approved'. Draw a box labeled 'CTE_Chargeback'. Draw arrows from both boxes feeding into a single large funnel labeled 'UNION ALL'. Below the funnel, draw a table with final aggregate columns (sums/counts).",Relational table canvas
1206,Design Skiplist,Probabilistic Multi-Level Linked List,"Draw 3-4 horizontal lines representing levels. Draw circles on the bottom line (Level 0). Flip a coin for each circle to see if it grows a circle directly above it on Level 1. Draw horizontal arrows between circles on the same level, and vertical drop-down arrows. Trace a ""staircase"" path down and right.",Node-link canvas (tree/list/trie)
1207,Unique Number of Occurrences,Hash Map (Counting) + Hash Set (Uniqueness),"Draw an array mapping to a 2-column table (Key -> Count). Draw arrows from the 'Count' column pointing into a circle labeled 'Set'. If two arrows try to point to the same number in the Set, draw a red X.",Lookup-table / bucket canvas
1208,Get Equal Substrings Within Budget,Sliding Window (Variable Size),"Draw two parallel strings (s and t). Write the absolute differences between them in an array below. Draw 'L' and 'R' pointers starting at index 0. Move 'R' right, keeping a running sum. If sum > maxCost, move 'L' right.",Node-link canvas (tree/list/trie)
1209,Remove All Adjacent Duplicates in String II,Stack with Frequency Pairs,"Draw a vertical open-top box (a stack). Inside, draw small paired boxes like `['a', 1]`. When reading the next 'a', erase the `1` and write `2`. If it hits `k`, completely erase that pair from the box.",Container canvas (stack/queue/heap)
1210,Minimum Moves to Reach Target with Rotations,Breadth-First Search (BFS) Shortest Path on a 3D State Graph,"Draw a small N x N grid. Draw a 2-cell long block. Write down a queue: `[ (r, c, dir, dist) ]`. Pop the front, draw arrows in the grid for valid next positions, and add those new (r, c, dir, dist+1) tuples back to the queue.",Container canvas (stack/queue/heap)
